data,nome
2020-01-01,Confraternização Universal
2020-02-24,Carnaval (Segunda-feira)
2020-02-25,Carnaval (Terça-feira)
2020-04-10,Sexta-feira Santa
2020-04-12,Páscoa
2020-04-21,Tiradentes
2020-05-01,Dia do Trabalho
2020-06-11,Corpus Christi
2020-09-07,Independência do Brasil
2020-10-12,Nossa Senhora Aparecida
2020-11-02,Finados
2020-11-15,Proclamação da República
2020-12-25,Natal
2021-01-01,Confraternização Universal
2021-02-15,Carnaval (Segunda-feira)
2021-02-16,Carnaval (Terça-feira)
2021-04-02,Sexta-feira Santa
2021-04-04,Páscoa
2021-04-21,Tiradentes
2021-05-01,Dia do Trabalho
2021-06-03,Corpus Christi
2021-09-07,Independência do Brasil
2021-10-12,Nossa Senhora Aparecida
2021-11-02,Finados
2021-11-15,Proclamação da República
2021-12-25,Natal
2022-01-01,Confraternização Universal
2022-02-28,Carnaval (Segunda-feira)
2022-03-01,Carnaval (Terça-feira)
2022-04-15,Sexta-feira Santa
2022-04-17,Páscoa
2022-04-21,Tiradentes
2022-05-01,Dia do Trabalho
2022-06-16,Corpus Christi
2022-09-07,Independência do Brasil
2022-10-12,Nossa Senhora Aparecida
2022-11-02,Finados
2022-11-15,Proclamação da República
2022-12-25,Natal
2023-01-01,Confraternização Universal
2023-02-20,Carnaval (Segunda-feira)
2023-02-21,Carnaval (Terça-feira)
2023-04-07,Sexta-feira Santa
2023-04-09,Páscoa
2023-04-21,Tiradentes
2023-05-01,Dia do Trabalho
2023-06-08,Corpus Christi
2023-09-07,Independência do Brasil
2023-10-12,Nossa Senhora Aparecida
2023-11-02,Finados
2023-11-15,Proclamação da República
2023-12-25,Natal
2024-01-01,Confraternização Universal
2024-02-12,Carnaval (Segunda-feira)
2024-02-13,Carnaval (Terça-feira)
2024-03-29,Sexta-feira Santa
2024-03-31,Páscoa
2024-04-21,Tiradentes
2024-05-01,Dia do Trabalho
2024-05-30,Corpus Christi
2024-09-07,Independência do Brasil
2024-10-12,Nossa Senhora Aparecida
2024-11-02,Finados
2024-11-15,Proclamação da República
2024-12-25,Natal
2025-01-01,Confraternização Universal
2025-03-03,Carnaval (Segunda-feira)
2025-03-04,Carnaval (Terça-feira)
2025-04-18,Sexta-feira Santa
2025-04-20,Páscoa
2025-04-21,Tiradentes
2025-05-01,Dia do Trabalho
2025-06-19,Corpus Christi
2025-09-07,Independência do Brasil
2025-10-12,Nossa Senhora Aparecida
2025-11-02,Finados
2025-11-15,Proclamação da República
2025-12-25,Natal
2026-01-01,Confraternização Universal
2026-02-16,Carnaval (Segunda-feira)
2026-02-17,Carnaval (Terça-feira)
2026-04-03,Sexta-feira Santa
2026-04-05,Páscoa
2026-04-21,Tiradentes
2026-05-01,Dia do Trabalho
2026-06-04,Corpus Christi
2026-09-07,Independência do Brasil
2026-10-12,Nossa Senhora Aparecida
2026-11-02,Finados
2026-11-15,Proclamação da República
2026-12-25,Natal
2027-01-01,Confraternização Universal
2027-02-08,Carnaval (Segunda-feira)
2027-02-09,Carnaval (Terça-feira)
2027-03-26,Sexta-feira Santa
2027-03-28,Páscoa
2027-04-21,Tiradentes
2027-05-01,Dia do Trabalho
2027-05-27,Corpus Christi
2027-09-07,Independência do Brasil
2027-10-12,Nossa Senhora Aparecida
2027-11-02,Finados
2027-11-15,Proclamação da República
2027-12-25,Natal
2028-01-01,Confraternização Universal
2028-02-28,Carnaval (Segunda-feira)
2028-02-29,Carnaval (Terça-feira)
2028-04-14,Sexta-feira Santa
2028-04-16,Páscoa
2028-04-21,Tiradentes
2028-05-01,Dia do Trabalho
2028-06-15,Corpus Christi
2028-09-07,Independência do Brasil
2028-10-12,Nossa Senhora Aparecida
2028-11-02,Finados
2028-11-15,Proclamação da República
2028-12-25,Natal
2029-01-01,Confraternização Universal
2029-02-12,Carnaval (Segunda-feira)
2029-02-13,Carnaval (Terça-feira)
2029-03-30,Sexta-feira Santa
2029-04-01,Páscoa
2029-04-21,Tiradentes
2029-05-01,Dia do Trabalho
2029-05-31,Corpus Christi
2029-09-07,Independência do Brasil
2029-10-12,Nossa Senhora Aparecida
2029-11-02,Finados
2029-11-15,Proclamação da República
2029-12-25,Natal
2030-01-01,Confraternização Universal
2030-03-04,Carnaval (Segunda-feira)
2030-03-05,Carnaval (Terça-feira)
2030-04-19,Sexta-feira Santa
2030-04-21,Tiradentes
2030-04-21,Páscoa
2030-05-01,Dia do Trabalho
2030-06-20,Corpus Christi
2030-09-07,Independência do Brasil
2030-10-12,Nossa Senhora Aparecida
2030-11-02,Finados
2030-11-15,Proclamação da República
2030-12-25,Natal
